Article,Date,Heading,NewsType
"HONG KONG:  Hong Kong shares opened 0.66 percent lower Monday following a tepid lead from Wall Street, as the first full week of the new year kicked off.The benchmark Hang Seng Index dipped 158.63 points to 23,699.19.",1/5/2015,hong kong stocks open 0.66 percent lower,business
"KARACHI: Wholesale market rates for sugar dropped to less than Rs 50 per kg following the resumption of sugar cane crushing by sugar mills in Sindh.Within two days, the rate dropped by Rs 1.70 to Rs 49.80 per kg in Karachi Whole Sale Market.According to dealers, the resumption of sugar cane crushing by the mills stabilised the supply to the market with an immediate effect on price as well.Industry experts said that the quality of sugar cane is excellent in Sindh and approximately 100 kg of sugar cane can produce 11 kg of sugar.",1/13/2015,sugar prices drop to rs 49.80 in sind,business
"HONG KONG: Hong Kong stocks edged up 0.24 percent in early trade Thursday despite a fourth successive day of losses on Wall Street.The benchmark Hang Seng Index added 56.75 points to 24,169.35.",1/15/2015,hong kong stocks open 0.24 percent higher,business
"ISLAMABAD: Long queues of vehicles on fuel stations were visible in different parts of the country as the petrol became rare commodity on Thursday.Federal Minister for Petroleum Shahid Khaqan Abbasi says ""it may take up to ten days to bring the situation to normality"".He claimed that northern areas of Pakistan had been facing the petrol shortage. The minister cited the recent decline in petroleum prices and delay in a shipment as reasons for the shortage.He said situation would improve as soon as shipment reached Pakistan. Sources told Geo News hat due to financial restraints the Pakistan State Oil has been unable import petrol.",1/16/2015,govt may take up to ten days to overcome petrol shortag,business
"SYDNEY: Cricket fever has gripped Australia with the World Cup just days away. Fans from around the world have thronged to the country and hotels are capitalising. Prices of rooms have almost doubled to 300 dollars and hotels are experiencing full bookings. Experts estimate that during the mega event Australia will generate 1.5 million US dollars just from hotel bookings. If the cost of internal air travel, taxis and tickets is taken into consideration, Australia stands to generate two million US dollars during the World Cup.",2/11/2015,hotel prices skyrocket in australia ahead of world cu,business
"KARACHI: The price of furnace oil used in the production of electricity in Pakistan has increased by about Rs 2000 per tonne to reach Rs 37400 per tonne.A rise in global crude oil prices has affected the otherwise consistently falling price of furnace oil. According to experts, the constant falling price of furnace oil during October to December last year attributed to the reduction of cost of electricity production by Rs 3. The relief is being passed on to consumers gradually by the government.",2/16/2015,furnace oil price rises by about rs 2000 per,business
"KARACHI: The State Bank of Pakistan on Saturday announced the new monetary policy for the next two months keeping interest rate at an all time low since 13 years.The central bank reduced interest rate by 0.5 percent and brought it down to eight percent.Experts were expecting a reduction of one percent.Despite a significant cut in interest rates during the current fiscal year, there has been no increase in loan acquisition by the private sector.On the other hand, government borrowing from the commercial banks has amounted to over one trillion rupees in eight months.",3/21/2015,sbp announces monetary policy 13 year low interest r,business
"ISLAMABAD: The price of petrol in Pakistan is expected to be reduced by Rs. 1.80, to settle at Rs. 73.21 from May 1, sources told Geo News on Monday.According to sources, OGRA will be sending a complete summary of the price changes for all POL products to the Petroleum Ministry by Wednesday, April 29.Furthermore, the price of diesel is expected to be decreased by Rs. 1.64, to settle at Rs. 81.97.On the other hand, the price of Kerosene oil is expected to be increased by Rs. 2, with the new price at Rs. 63.50.",4/27/2015,petrol diesel prices expected to decrease from may 1,business
"KARACHI: The price of petroleum products are expected to increase in June, industry sources have revealed to Geo News. The per litre price of diesel may rise by Rs6.20 and petrol by Rs5.80.  A staggering Rs11 increase may be seen in the price of HOBC. The reason for the price increase is the turmoil in Yemen which has led to an increase in crude oil price in the international market.",5/21/2015,pol prices expected to increase in ju,business
"ISLAMABAD: The Federal Cabinet on Tuesday approved the budget strategy paper, sources revealed to Geo News. During the cabinet meeting, Prime Minister Nawaz Sharif said tax rate had to be reduced to increase revenue. He added that people would happily pay taxes if the rate was reduced. The prime minister directed the cabinet to provide maximum relief to people in the budget, emphasising that the economic impact should reach people.",5/26/2015,cabinet approves budget strategy paper sour,business
